No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
15970,82522,42950,39572,15262,12074,44,34191,21667,12524,34836,21331,13505,10875,257
15970,82522,42950,39572,15262,12074,44,34191,21667,12524,34836,21331,13505,10875,257
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571,2893,1486,1407,536,813,6,1190,771,419,1363,804,559,355,3
2830,14720,7587,7133,2700,2462,6,6702,4110,2592,6441,3879,2562,1860,64
1863,9359,4842,4517,1804,954,12,4124,2539,1585,3040,2324,716,1200,37
1755,9078,4778,4300,1739,907,3,3875,2452,1423,3895,2364,1531,1463,50
587,2924,1495,1429,558,680,0,1263,775,488,1343,724,619,351,8
2261,11445,5966,5479,2139,1585,1,4216,2699,1517,4762,2966,1796,1526,26
473,2543,1330,1213,423,174,0,744,478,266,1304,676,628,442,0
841,4738,2474,2264,927,819,7,1760,1172,588,2300,1223,1077,672,19
754,3730,1912,1818,803,1397,1,1150,736,414,1591,905,686,512,8
393,2004,1039,965,352,78,0,870,568,302,805,515,290,105,1
2491,13422,7064,6358,2371,1021,8,6059,3926,2133,5566,3448,2118,1806,40
1151,5666,2977,2689,910,1184,0,2238,1441,797,2426,1503,923,583,1
27252,134159,70300,63859,27119,28557,118,55115,34732,20383,52307,33683,18624,9748,747
26132,128861,67483,61378,26182,28310,47,51995,32896,19099,50700,32400,18300,9612,731
1120,5298,2817,2481,937,247,71,3120,1836,1284,1607,1283,324,136,16
1446,6704,3568,3136,1303,2806,2,2356,1525,831,3376,1773,1603,290,8
2559,12935,6791,6144,2451,1939,1,4518,2958,1560,4934,3277,1657,1393,9
771,3912,2027,1885,693,970,0,1715,1100,615,1730,1038,692,525,13
361,1771,935,836,296,418,0,791,507,284,645,468,177,118,0
329,1614,848,766,368,474,0,607,410,197,761,402,359,56,8
474,2250,1154,1096,445,891,0,936,602,334,962,582,380,428,0
172,712,355,357,155,481,0,208,127,81,394,201,193,123,0
177,970,499,471,184,437,0,372,259,113,499,251,248,4,0
774,4467,2338,2129,841,1234,4,1751,1151,600,2084,1161,923,498,3
225,1235,653,582,219,360,0,658,444,214,275,242,33,101,6
785,3444,1840,1604,730,1070,0,1459,959,500,1105,865,240,650,5
838,4431,2300,2131,1081,924,2,1271,854,417,1486,1022,464,248,1
570,2634,1421,1213,504,711,0,915,654,261,1212,737,475,54,3
167,803,404,399,140,187,0,427,258,169,290,198,92,27,7
709,3868,2003,1865,902,963,1,1193,825,368,1747,1035,712,593,8
1307,6250,3304,2946,1174,881,0,3412,2001,1411,2378,1551,827,343,10
2886,13973,7290,6683,2767,1704,1,6171,3912,2259,5450,3460,1990,913,90
1499,7377,3938,3439,1504,1172,4,3109,1986,1123,3263,1924,1339,645,22
729,3498,1831,1667,804,1024,2,1281,790,491,1267,824,443,115,4
2532,13642,7030,6612,3166,2297,3,4676,2976,1700,3681,3060,621,358,130
541,2715,1425,1290,634,845,1,1038,665,373,1316,716,600,384,8
2060,9840,5243,4597,1723,778,8,4990,2987,2003,3551,2538,1013,319,225
1085,4964,2586,2378,988,999,0,1965,1172,793,2331,1270,1061,359,10
1472,6815,3566,3249,1346,1570,2,2964,1836,1128,2473,1780,693,614,121
1569,7573,3889,3684,1666,2778,16,3079,1846,1233,3278,1904,1374,454,36
95,464,245,219,98,397,0,133,92,41,212,121,91,0,4
1120,5298,2817,2481,937,247,71,3120,1836,1284,1607,1283,324,136,16
17092,91818,47805,44013,18015,14724,128,35824,23445,12379,40392,23326,17066,9490,197
17092,91818,47805,44013,18015,14724,128,35824,23445,12379,40392,23326,17066,9490,197
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1221,6379,3327,3052,1230,1093,3,3281,2035,1246,2399,1547,852,690,10
1531,8548,4353,4195,1680,2273,6,3340,2132,1208,3933,2077,1856,643,20
2108,10996,5773,5223,1950,1727,24,4362,2892,1470,5547,2953,2594,909,8
1331,7778,4014,3764,1611,627,0,2606,1730,876,2904,1924,980,421,13
2711,14558,7579,6979,2915,1463,5,4886,3301,1585,7475,3972,3503,2772,35
926,5087,2669,2418,1070,1027,0,1786,1150,636,2397,1385,1012,680,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,4430,2342,2088,917,696,53,1454,1024,430,2083,1101,982,789,4
115,746,392,354,166,0,0,256,195,61,189,161,28,1,0
239,1391,760,631,243,67,0,661,459,202,607,329,278,2,0
280,1875,1006,869,377,113,0,770,532,238,676,417,259,176,2
1141,6306,3273,3033,1288,1016,4,2397,1630,767,2690,1608,1082,661,7
888,4872,2432,2440,1062,1210,0,1872,1187,685,2226,1185,1041,146,8
365,1883,1000,883,340,104,0,675,459,216,729,492,237,365,23
2577,12542,6560,5982,2401,2444,33,5104,3262,1842,4936,3132,1804,956,62
775,4427,2325,2102,765,864,0,2374,1457,917,1601,1043,558,279,3
38820,191375,100292,91083,38169,37586,94,78836,50018,28818,77327,48094,29233,22172,1022
38820,191375,100292,91083,38169,37586,94,78836,50018,28818,77327,48094,29233,22172,1022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,9459,4910,4549,1749,2008,28,4573,2909,1664,4233,2422,1811,654,8
567,2742,1469,1273,575,365,0,918,595,323,1124,722,402,30,2
793,3980,2161,1819,721,704,10,1870,1175,695,1535,993,542,375,168
568,2853,1500,1353,661,435,4,1186,758,428,969,673,296,149,13
1385,7724,4078,3646,1566,1223,1,3287,2220,1067,3099,1825,1274,572,34
284,1353,744,609,240,50,0,632,432,200,623,371,252,13,0
3838,19659,10381,9278,3900,3700,9,7822,4993,2829,7426,4509,2917,1700,94
1394,6782,3547,3235,1398,669,0,2587,1669,918,2431,1682,749,285,18
3573,17161,9034,8127,3451,3037,10,7497,4744,2753,7109,4397,2712,2108,174
1706,8443,4367,4076,1653,1754,1,3789,2293,1496,2921,2058,863,1068,9
3020,13669,7083,6586,2865,2196,3,5552,3541,2011,5190,3562,1628,1027,61
579,2640,1362,1278,525,1027,2,967,588,379,1101,656,445,559,16
261,1250,624,626,264,0,0,499,352,147,478,304,174,103,2
182,899,479,420,166,48,0,387,264,123,368,245,123,10,0
481,2283,1195,1088,411,0,0,1087,651,436,939,600,339,418,5
743,3421,1826,1595,688,754,0,1547,979,568,1340,844,496,503,4
447,1827,977,850,371,177,0,756,505,251,720,488,232,337,3
315,1676,868,808,353,416,0,750,455,295,627,457,170,303,8
958,4246,2242,2004,783,1109,1,1977,1178,799,1406,1004,402,550,3
57,254,146,108,48,91,0,122,91,31,125,64,61,24,0
223,921,477,444,151,137,0,450,289,161,503,262,241,12,16
142,661,347,314,150,0,0,250,156,94,178,153,25,118,1
81,400,217,183,107,221,0,80,59,21,189,96,93,2,0
51,230,124,106,31,0,0,133,74,59,1,1,0,1,0
124,593,287,306,156,6,0,154,89,65,286,159,127,0,3
268,1186,658,528,297,568,1,401,242,159,586,320,266,278,6
496,2338,1219,1119,533,843,8,649,450,199,1102,630,472,239,46
225,1228,655,573,252,69,2,286,197,89,639,346,293,61,13
387,2059,1071,988,421,317,1,785,490,295,769,409,360,260,0
778,4080,2137,1943,728,518,0,1577,1028,549,1923,1094,829,290,5
259,1430,770,660,277,402,0,576,367,209,468,341,127,66,1
1599,8040,4240,3800,1603,2240,0,3490,2116,1374,2174,1852,322,760,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,2813,1468,1345,554,978,1,1022,675,347,1284,722,562,284,1
588,3315,1724,1591,741,1004,1,993,676,317,1740,959,781,1200,60
970,5125,2672,2453,982,580,0,1849,1199,650,2260,1385,875,563,67
712,3516,1806,1710,713,783,1,1590,957,633,1423,896,527,312,28
278,1970,978,992,361,345,0,721,447,274,698,415,283,332,9
326,1629,855,774,311,457,0,696,427,269,691,408,283,202,7
941,4614,2452,2162,718,1048,1,2085,1275,810,1948,1158,790,832,11
768,3988,2087,1901,799,1344,0,1612,1059,553,1409,966,443,845,18
2858,13617,6996,6621,2850,1713,2,6576,4082,2494,5741,3242,2499,2731,46
692,3341,1743,1598,653,679,3,1280,796,484,1715,927,788,261,23
401,1821,965,856,315,385,1,610,404,206,605,552,53,284,1
2086,10139,5351,4788,2078,3186,3,3166,2072,1094,5231,2925,2306,1451,35
22238,106222,55157,51065,19913,24110,171,46438,28673,17765,49626,28365,21261,10140,741
22238,106222,55157,51065,19913,24110,171,46438,28673,17765,49626,28365,21261,10140,741
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,1883,993,890,347,192,0,1061,656,405,954,474,480,10,0
5539,26295,13561,12734,4982,5858,28,11295,6930,4365,12136,6841,5295,2925,171
312,1410,720,690,295,485,1,609,407,202,768,399,369,27,1
1985,9576,5003,4573,1718,1375,3,4566,2775,1791,4564,2526,2038,1508,30
1877,8962,4621,4341,1829,2253,4,3803,2293,1510,4233,2366,1867,897,7
2144,10013,5179,4834,1863,2132,5,4654,2834,1820,4352,2700,1652,558,120
179,942,488,454,131,231,1,512,317,195,437,234,203,5,0
8790,42528,22202,20326,7846,10133,128,17725,11087,6638,20067,11608,8459,3026,412
1056,4613,2390,2223,902,1451,1,2213,1374,839,2115,1217,898,1184,0
50860,243629,127577,116052,47211,46972,2210,101328,62673,38655,102894,62741,40153,26143,1292
50860,243629,127577,116052,47211,46972,2210,101328,62673,38655,102894,62741,40153,26143,1292
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,4913,2603,2310,939,1254,14,2355,1420,935,1576,1245,331,170,10
150,740,377,363,126,0,0,426,226,200,152,136,16,35,7
1738,8184,4252,3932,1762,709,7,2951,1759,1192,3145,1885,1260,671,10
562,2789,1466,1323,591,392,0,1245,766,479,963,674,289,270,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,433,229,204,96,333,0,148,95,53,164,102,62,3,0
263,1353,713,640,272,0,0,545,317,228,522,347,175,418,0
2097,10231,5354,4877,1923,1734,15,4326,2566,1760,4571,2678,1893,796,18
561,2431,1300,1131,445,575,0,1267,768,499,936,624,312,271,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16,11,5,0,0,0,16,11,5,6,5,1,4,0
836,3857,1989,1868,509,57,166,2322,1303,1019,1720,1116,604,343,129
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,409,230,179,79,201,0,149,94,55,146,99,47,107,2
682,3339,1731,1608,741,1136,0,1174,743,431,1203,768,435,663,41
435,2312,1217,1095,523,316,1,818,513,305,792,548,244,422,0
74,305,162,143,50,33,0,209,123,86,123,91,32,77,0
41,187,103,84,34,0,0,134,81,53,70,46,24,43,0
2067,10181,5449,4732,1883,1668,4,4498,2757,1741,4359,2737,1622,926,15
2793,13049,6842,6207,2531,3323,2,5159,3298,1861,5498,3372,2126,1564,26
1973,10314,5442,4872,1892,1465,8,5068,3151,1917,3334,2573,761,1971,101
719,3542,1856,1686,686,1123,196,1064,672,392,1925,1056,869,319,248
14,62,32,30,12,0,0,15,8,7,32,20,12,22,0
83,321,167,154,70,0,0,134,73,61,161,82,79,76,0
519,2522,1350,1172,463,298,0,1155,717,438,1158,723,435,163,2
2699,11650,6073,5577,2099,2659,4,5575,3401,2174,5032,3063,1969,1656,75
5000,24542,12782,11760,4869,5598,1230,10319,6335,3984,10257,6271,3986,1563,106
148,646,319,327,124,270,2,298,177,121,356,174,182,0,0
7215,31628,16503,15125,5906,7296,292,12656,7915,4741,14784,8371,6413,1497,180
57,193,104,89,21,36,0,116,70,46,126,68,58,27,27
1885,8763,4654,4109,1626,1470,1,3705,2359,1346,3730,2346,1384,943,46
209,1004,513,491,155,0,0,521,294,227,465,283,182,5,3
2131,10067,5286,4781,1923,2416,15,4916,2986,1930,4462,2510,1952,1445,20
1619,6852,3611,3241,1295,1826,2,3317,2026,1291,3339,1950,1389,1313,55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,662,350,312,128,83,0,329,204,125,177,162,15,25,0
119,583,304,279,127,309,0,189,127,62,282,125,157,25,0
1294,5964,3108,2856,1247,1167,7,1991,1226,765,2836,1554,1282,732,15
205,1228,617,611,256,215,6,261,171,90,438,286,152,125,0
378,1976,1070,906,338,40,0,986,619,367,759,517,242,154,3
1578,8229,4308,3921,1568,710,150,3290,2066,1224,2661,1935,726,506,13
282,1799,946,853,325,0,0,588,408,180,515,385,130,35,6
635,3270,1715,1555,836,517,0,876,589,287,1144,756,388,130,1
585,3629,1901,1728,744,9,0,1832,1142,690,1612,913,699,346,1
1346,7714,3972,3742,1621,1571,56,2429,1543,886,3424,2004,1420,851,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,1226,635,591,187,64,0,641,381,260,892,464,428,0,39
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,1980,1052,928,463,70,0,791,511,280,810,519,291,12,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,260,131,129,54,50,0,83,49,34,150,79,71,150,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691,3317,1757,1560,650,278,0,1466,883,583,1444,848,596,541,20
95,429,225,204,75,3,0,190,115,75,207,103,104,205,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,480,247,233,101,95,0,215,135,80,123,106,17,96,0
140,628,326,302,104,220,0,313,199,114,341,203,138,1,1
312,1470,779,691,292,173,0,544,343,201,585,344,241,197,2
1320,5896,3063,2833,1020,1863,8,2999,1849,1150,2795,1489,1306,1043,20
693,3686,1949,1737,867,455,4,1163,776,387,1279,858,421,805,6
60,310,168,142,68,21,0,80,54,26,72,71,1,67,0
206,863,466,397,181,419,1,268,182,86,254,211,43,99,1
12,55,28,27,4,0,0,18,15,3,31,15,16,15,0
34,190,100,90,49,186,2,42,28,14,87,43,44,59,0
433,2250,1168,1082,457,459,0,723,458,265,901,549,352,201,0
584,2775,1445,1330,513,452,0,672,423,249,1073,680,393,662,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1249,5925,3027,2898,1291,1355,17,1748,1153,595,2895,1559,1336,1278,20
37981,185631,97180,88451,36470,40763,4670,76240,47236,29004,67143,45088,22055,22195,401
37981,185631,97180,88451,36470,40763,4670,76240,47236,29004,67143,45088,22055,22195,401
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,10036,5290,4746,2008,1847,2,3711,2292,1419,3459,2567,892,1815,50
430,2117,1119,998,330,248,0,928,568,360,744,496,248,323,0
429,1851,977,874,354,747,4,1022,600,422,487,444,43,241,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,6006,3157,2849,1249,877,286,2087,1378,709,2614,1519,1095,1161,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,2619,1403,1216,589,953,1,951,590,361,901,633,268,199,2
289,1373,713,660,311,470,0,448,290,158,465,306,159,144,3
917,4671,2477,2194,912,773,0,2011,1293,718,1799,1161,638,664,32
1197,5593,2955,2638,899,626,0,2567,1615,952,1834,1361,473,151,7
3213,15489,8074,7415,3070,4448,6,5371,3439,1932,5685,3698,1987,2317,17
1531,6968,3648,3320,1329,2064,3,2576,1614,962,3238,1709,1529,1333,16
701,3214,1632,1582,712,356,0,1341,827,514,1477,762,715,710,1
590,2977,1618,1359,563,724,0,1146,732,414,953,758,195,340,1
249,1278,658,620,262,413,0,608,372,236,377,297,80,129,0
1301,6623,3453,3170,1333,926,9,2703,1775,928,2699,1587,1112,809,12
430,2697,1402,1295,589,1071,26,751,481,270,1066,662,404,419,0
1640,8521,4317,4204,1883,1422,0,3321,2048,1273,3050,1953,1097,813,34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1566,7011,3715,3296,1314,1919,0,3434,2146,1288,2383,1737,646,428,13
219,1060,550,510,202,402,0,202,138,64,365,260,105,75,0
1725,8291,4323,3968,1787,2062,723,3247,1909,1338,2760,1957,803,1147,16
644,3006,1617,1389,596,665,2,1137,733,404,1038,730,308,265,2
2332,10902,5774,5128,2170,2106,183,4530,2797,1733,3729,2666,1063,946,100
630,3315,1739,1576,643,646,279,1209,795,414,1116,799,317,592,1
836,3694,1878,1816,699,575,1240,1483,898,585,1159,831,328,708,9
396,1909,1015,894,318,433,0,899,594,305,866,478,388,121,5
