No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
55344,282127,147972,134155,62816,76228,132,103835,64590,39245,97386,66326,31060,26498,1564
55344,282127,147972,134155,62816,76228,132,103835,64590,39245,97386,66326,31060,26498,1564
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,4750,2496,2254,1079,1594,0,1805,1068,737,1772,1134,638,216,2
1933,10399,5553,4846,2535,5571,2,3644,2255,1389,3859,2397,1462,1370,16
1368,7713,4026,3687,1964,2585,6,1832,1162,670,3223,1892,1331,1159,19
539,2648,1404,1244,713,1724,0,1053,659,394,915,607,308,342,1
321,1797,943,854,462,563,0,804,483,321,604,429,175,192,51
3616,17531,9179,8352,3760,4338,11,6576,4112,2464,6183,4193,1990,1848,168
1179,6554,3509,3045,1415,1570,1,2369,1605,764,2220,1503,717,34,7
3182,15525,8266,7259,3232,2297,3,6918,4159,2759,5418,3720,1698,1444,261
1253,7125,3761,3364,1610,2000,0,2812,1782,1030,2099,1656,443,647,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,6528,3383,3145,1643,4555,2,1984,1242,742,1924,1404,520,997,7
472,2446,1341,1105,647,1241,0,527,341,186,1142,612,530,228,6
3550,19001,10012,8989,4319,4084,20,6495,4225,2270,5995,4322,1673,2216,59
2027,10509,5528,4981,2358,3488,43,3524,2279,1245,3705,2582,1123,1397,34
252,1180,608,572,318,119,0,298,215,83,321,268,53,119,0
856,4452,2256,2196,988,390,0,1309,850,459,1605,1003,602,699,5
2889,16057,8359,7698,3655,3748,0,5953,3535,2418,5221,3761,1460,1428,40
2486,11982,6333,5649,2587,1648,1,4483,2824,1659,4727,2859,1868,992,27
1933,9833,5114,4719,2035,1974,0,3547,2224,1323,3995,2371,1624,1498,91
1534,7660,3981,3679,1889,3876,0,2292,1426,866,3044,1895,1149,773,13
1165,6005,3164,2841,1457,1235,1,1867,1246,621,2239,1327,912,344,17
1712,8696,4480,4216,1840,1258,0,3276,1978,1298,2752,2057,695,323,36
534,2464,1262,1202,609,455,0,835,510,325,724,579,145,563,0
1114,5899,3072,2827,1396,208,0,1480,936,544,1542,1388,154,321,9
884,4459,2356,2103,1038,1213,0,996,619,377,1073,981,92,278,7
348,1851,1009,842,381,60,0,723,469,254,497,433,64,149,0
725,3840,2046,1794,789,753,0,1144,722,422,1126,854,272,176,7
1878,9005,4682,4323,1701,1050,0,4404,2586,1818,2884,2044,840,588,40
584,2671,1421,1250,568,199,0,996,611,385,950,673,277,62,19
1073,5182,2533,2649,1165,1569,2,2195,1287,908,2105,1123,982,334,193
347,1536,807,729,309,156,0,724,444,280,445,348,97,93,9
640,2788,1475,1313,535,298,0,1170,749,421,1023,700,323,202,9
935,4530,2416,2114,933,737,0,2160,1341,819,1558,1075,483,66,38
1546,7561,3950,3611,1762,1246,0,2949,1871,1078,2741,1818,923,300,18
1887,9197,4923,4274,1777,914,0,4529,2827,1702,3029,2218,811,508,80
816,3706,1952,1754,720,647,0,1830,1072,758,1600,963,637,304,161
323,1452,767,685,252,513,0,644,405,239,460,358,102,191,6
1438,7108,3724,3384,1445,2616,0,3102,1885,1217,2581,1769,812,116,64
1341,7009,3633,3376,1564,2889,0,2263,1491,772,2258,1543,715,251,0
2596,12914,6697,6217,2876,6077,30,4987,3032,1955,4417,3081,1336,1930,10
581,3535,1826,1709,912,1191,0,721,444,277,1147,742,405,638,4
453,2331,1241,1090,556,2190,7,686,455,231,709,515,194,497,9
191,976,515,461,211,247,0,446,245,201,360,243,117,204,0
312,1596,840,756,334,664,0,631,359,272,541,381,160,295,4
427,2126,1129,997,477,478,3,852,560,292,653,505,148,166,2
65942,331952,176129,155823,67759,55693,81,146238,88107,58131,110056,79072,30984,29838,2009
65942,331952,176129,155823,67759,55693,81,146238,88107,58131,110056,79072,30984,29838,2009
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,1420,744,676,313,434,0,559,307,252,457,303,154,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1687,8518,4456,4062,2149,3133,1,2043,1360,683,3077,1975,1102,624,33
2378,12203,6432,5771,2589,1833,0,4928,2998,1930,3828,2812,1016,483,11
5337,28508,15225,13283,6220,2186,0,12593,7564,5029,9871,6852,3019,2392,119
2569,13749,7341,6408,2887,1914,1,5441,3340,2101,4463,3325,1138,779,53
603,3008,1595,1413,736,2063,1,1268,771,497,1153,659,494,522,19
713,3227,1699,1528,681,1055,0,1242,764,478,1241,792,449,392,15
418,1909,991,918,430,1111,0,803,475,328,613,420,193,206,20
294,1410,783,627,383,929,0,307,221,86,490,347,143,435,0
472,2622,1378,1244,636,1064,0,1468,847,621,798,575,223,168,81
818,3686,1950,1736,705,1360,0,1503,938,565,1356,895,461,528,2
3215,14964,7912,7052,2886,2489,1,6402,3889,2513,5104,3673,1431,1550,54
2758,13382,7074,6308,2719,4551,1,6035,3551,2484,4065,3169,896,1219,56
1477,6803,3547,3256,1534,1923,4,1942,1213,729,2087,1540,547,674,10
1269,6198,3341,2857,1200,525,1,2939,1810,1129,2118,1629,489,872,26
2463,12829,6885,5944,2481,982,0,6013,3694,2319,4320,3123,1197,761,282
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1644,8680,4593,4087,1675,508,0,4342,2540,1802,2503,1910,593,612,40
236,1125,615,510,248,0,0,277,184,93,331,303,28,205,0
2184,10080,5348,4732,2027,1533,4,5092,3028,2064,4404,2431,1973,2083,83
497,2346,1206,1140,504,209,0,1170,722,448,819,581,238,294,9
2052,10585,5623,4962,2167,3080,2,4525,2797,1728,3489,2534,955,1231,25
1217,6138,3244,2894,1360,950,0,1879,1174,705,2448,1478,970,683,5
1337,6659,3498,3161,1392,815,0,2291,1449,842,2382,1545,837,845,39
4412,21643,11433,10210,4395,4700,3,8776,5257,3519,8236,5420,2816,2394,83
178,839,378,461,175,355,0,272,147,125,339,194,145,136,0
269,1427,748,679,336,59,0,535,313,222,448,358,90,50,0
773,4456,2390,2066,883,148,0,2178,1341,837,1247,1050,197,242,46
331,1672,907,765,383,183,0,757,441,316,485,391,94,147,6
195,1109,618,491,245,0,0,471,298,173,521,295,226,102,4
1243,6034,3248,2786,1132,2037,0,2841,1706,1135,2345,1571,774,691,68
697,3554,1896,1658,743,51,0,1382,816,566,936,749,187,416,15
556,2559,1297,1262,561,0,0,1059,601,458,934,586,348,439,5
1570,7926,4137,3789,1637,856,0,3319,2001,1318,1981,1729,252,476,33
459,1980,1047,933,385,259,1,1063,624,439,536,470,66,93,6
871,4727,2511,2216,1182,1,0,1450,891,559,1323,1069,254,482,95
3455,17584,9238,8346,3310,3199,0,7450,4552,2898,4647,3899,748,623,236
4802,24774,13184,11590,5129,1657,1,10202,6078,4124,8868,6023,2845,2848,146
3414,17957,9559,8398,2951,2066,53,11167,6447,4720,5647,4370,1277,673,112
2157,10671,5766,4905,2012,909,2,5658,3422,2236,3232,2453,779,513,74
689,3414,1844,1570,677,824,0,1888,1157,731,860,771,89,80,3
371,1852,992,860,397,1152,0,1035,627,408,473,406,67,14,21
79,388,212,176,68,344,0,248,159,89,173,94,79,5,1
6,6,6,0,0,0,0,6,6,0,6,6,0,0,0
885,3930,2124,1806,661,555,5,2486,1480,1006,1111,960,151,424,42
1414,7478,3995,3483,1311,1223,0,4160,2459,1701,2497,1920,577,666,23
1178,5923,3119,2804,1264,468,0,2773,1648,1125,1794,1417,377,762,7
17464,88511,47321,41190,17473,12064,54,43387,26081,17306,27415,21338,6077,7857,707
17464,88511,47321,41190,17473,12064,54,43387,26081,17306,27415,21338,6077,7857,707
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2240,10749,5677,5072,2139,1920,1,5534,3324,2210,2919,2411,508,589,162
170,922,482,440,277,920,1,242,169,73,337,221,116,27,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,669,347,322,174,183,0,217,140,77,166,143,23,85,0
1355,6564,3451,3113,1368,1887,25,3284,1981,1303,1995,1485,510,379,40
1748,9579,5181,4398,1902,1070,2,4592,2841,1751,2596,2202,394,1179,51
1661,7686,4078,3608,1577,2214,4,3426,2028,1398,2981,1976,1005,1206,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2648,13415,7169,6246,2565,860,5,6324,3757,2567,4694,3464,1230,1452,192
2144,11463,6119,5344,1942,939,9,6445,3784,2661,3125,2691,434,944,79
4825,25025,13418,11607,5078,1845,7,12087,7263,4824,7973,6184,1789,1948,113
525,2439,1399,1040,451,226,0,1236,794,442,629,561,68,48,28
29902,153831,81649,72182,32503,26230,67,68167,41481,26686,57117,37062,20055,12228,709
29902,153831,81649,72182,32503,26230,67,68167,41481,26686,57117,37062,20055,12228,709
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,3037,1617,1420,667,179,3,1581,944,637,743,683,60,489,5
728,3878,2060,1818,909,174,0,1137,717,420,1472,887,585,534,65
1254,8270,4409,3861,1973,1407,0,3317,2056,1261,3612,2028,1584,239,14
458,2886,1500,1386,700,89,0,932,604,328,1368,722,646,441,7
71,585,289,296,136,0,0,292,190,102,5,2,3,0,0
202,1045,552,493,290,279,0,356,242,114,446,229,217,123,3
1753,8129,4366,3763,1826,2079,0,2919,1897,1022,2802,2000,802,1231,31
845,4298,2317,1981,984,1405,4,1785,1127,658,1717,1056,661,516,2
452,2035,1127,908,418,156,0,716,457,259,590,467,123,369,0
332,1770,923,847,467,1577,0,179,134,45,795,416,379,130,1
6437,34026,18022,16004,6955,5266,46,16318,9803,6515,11718,8092,3626,1809,64
408,1967,1042,925,456,642,1,646,373,273,584,446,138,135,0
917,4919,2638,2281,891,475,0,2635,1651,984,2190,1357,833,158,20
1422,6842,3605,3237,1359,737,0,3569,2093,1476,2038,1515,523,324,14
540,2754,1439,1315,599,279,1,1401,840,561,906,702,204,384,3
1228,6717,3595,3122,1310,705,0,2733,1653,1080,2999,1660,1339,936,12
1064,5308,2671,2637,1133,471,0,2874,1607,1267,1993,1135,858,433,14
181,893,462,431,178,185,0,278,171,107,339,249,90,76,10
2947,14699,7940,6759,2793,1634,0,7531,4562,2969,6016,3648,2368,1190,227
651,3240,1692,1548,693,485,0,1255,768,487,1170,787,383,12,11
1341,6323,3338,2985,1422,1183,0,2545,1585,960,1814,1463,351,422,175
2506,12295,6485,5810,2563,1230,0,5153,3131,2022,4956,2966,1990,1249,5
1071,5584,2956,2628,1200,2096,1,2284,1379,905,2056,1295,761,210,0
845,4073,2172,1901,895,798,0,1481,953,528,1981,1178,803,359,4
317,1426,757,669,296,736,0,726,435,291,682,382,300,39,1
193,1018,557,461,212,96,0,285,190,95,325,238,87,1,0
252,1443,769,674,308,78,0,820,498,322,522,368,154,53,9
938,4371,2349,2022,870,1789,11,2419,1421,998,1278,1091,187,366,12
40186,200223,105197,95026,44608,30881,81,79624,48656,30968,72303,47675,24628,17779,994
40186,200223,105197,95026,44608,30881,81,79624,48656,30968,72303,47675,24628,17779,994
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,4076,2158,1918,886,767,1,1447,936,511,1828,1034,794,284,2
1439,7035,3764,3271,1641,1310,0,2695,1625,1070,2468,1677,791,655,11
133,684,371,313,166,372,0,142,94,48,174,162,12,61,0
2191,11084,5897,5187,2257,1360,3,5031,3056,1975,4173,2800,1373,1132,15
1679,8697,4482,4215,1867,1899,1,4096,2403,1693,2847,2057,790,811,21
2715,12749,6610,6139,2919,2529,8,5497,3212,2285,4816,3054,1762,1269,66
1271,6533,3473,3060,1389,1183,6,2752,1740,1012,2265,1630,635,430,35
293,1441,740,701,262,219,0,464,298,166,462,340,122,142,9
4132,20703,10859,9844,4543,3086,13,7852,4869,2983,7366,4977,2389,1438,208
2077,10334,5416,4918,2380,1991,10,3832,2442,1390,3630,2414,1216,982,22
745,3590,1900,1690,829,318,0,1228,766,462,1205,855,350,394,5
1675,8384,4524,3860,1711,1140,0,4103,2479,1624,3163,2125,1038,636,95
864,4346,2239,2107,1034,898,0,2015,1198,817,1104,908,196,312,17
267,1460,757,703,389,92,0,575,331,244,513,328,185,170,2
2106,10450,5407,5043,2503,1917,0,3629,2253,1376,4573,2493,2080,1808,30
2836,14941,7881,7060,3596,2530,0,4221,2683,1538,5043,3438,1605,1568,74
496,2384,1236,1148,589,627,0,1119,628,491,948,567,381,181,1
889,4773,2530,2243,1132,1741,1,2170,1268,902,1456,1063,393,579,4
236,1389,738,651,260,0,0,442,306,136,958,509,449,7,0
1558,7767,4038,3729,1877,1656,1,2077,1401,676,3477,1892,1585,454,32
2295,10644,5548,5096,2647,428,0,2774,1708,1066,3490,2349,1141,1062,58
1592,7379,3861,3518,1743,897,1,2888,1787,1101,2470,1744,726,739,50
1169,5688,3012,2676,1319,1096,36,2178,1351,827,2376,1343,1033,209,12
1434,7492,3872,3620,1449,859,0,4003,2367,1636,2712,1789,923,345,3
1478,7337,3803,3534,1523,631,0,3440,2160,1280,2779,1722,1057,369,82
608,3260,1707,1553,676,209,0,1385,820,565,1126,737,389,660,22
1971,9208,4897,4311,1816,831,0,4431,2642,1789,2895,2152,743,481,59
668,3098,1686,1412,627,216,0,1474,845,629,975,786,189,456,32
639,3297,1791,1506,578,79,0,1664,988,676,1011,730,281,145,27
55036,279017,148875,130142,55374,23152,139,141655,84517,57138,92400,68074,24326,25105,1566
55036,279017,148875,130142,55374,23152,139,141655,84517,57138,92400,68074,24326,25105,1566
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,2394,1268,1126,494,78,0,843,547,296,1247,657,590,178,13
1977,9296,4921,4375,1817,652,10,4869,2886,1983,2767,2158,609,1194,117
1554,7962,4170,3792,1706,882,1,2963,1818,1145,3919,2248,1671,1606,19
736,3784,2033,1751,815,358,0,1717,1074,643,1307,921,386,443,8
1410,7299,3878,3421,1501,759,2,2886,1758,1128,2485,1717,768,572,24
3482,16984,9030,7954,3484,2620,9,9176,5454,3722,5358,4055,1303,1110,36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676,8510,4550,3960,1614,455,1,4633,2593,2040,2757,2131,626,345,6
1177,5740,3088,2652,1083,221,0,3252,1938,1314,1581,1406,175,190,6
168,909,480,429,197,0,0,467,262,205,247,204,43,158,1
1317,6839,3630,3209,1479,440,0,3311,1944,1367,1981,1659,322,546,18
2500,12051,6273,5778,2686,832,0,5393,3193,2200,3305,2867,438,1083,26
3026,15109,8204,6905,2617,2308,10,9610,5640,3970,4693,3749,944,964,53
460,2188,1189,999,438,237,0,1222,746,476,554,523,31,180,15
123,684,364,320,144,174,2,464,253,211,191,172,19,68,23
1313,6431,3447,2984,1222,1724,25,3616,2190,1426,2294,1656,638,762,31
2844,13758,7478,6280,2537,1265,3,7405,4570,2835,4111,3421,690,965,104
459,2390,1320,1070,445,196,0,1315,833,482,625,569,56,179,1
1088,6272,3357,2915,1181,1019,20,2867,1742,1125,1845,1503,342,759,3
376,1947,962,985,378,0,0,627,359,268,884,476,408,122,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5985,30972,16551,14421,6280,1151,15,14721,8756,5965,9072,7316,1756,2250,112
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652,3167,1684,1483,848,285,1,1119,735,384,1454,770,684,570,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,6727,3650,3077,1217,385,0,4024,2401,1623,2275,1602,673,97,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909,4828,2641,2187,923,248,0,2784,1682,1102,1422,1185,237,419,7
1019,5416,2870,2546,1070,173,0,3278,1938,1340,1884,1359,525,501,155
1582,8479,4595,3884,1687,222,7,4335,2560,1775,2345,1996,349,800,55
645,3663,1921,1742,637,243,2,2289,1310,979,1624,956,668,380,9
1580,8223,4276,3947,1488,507,0,4604,2626,1978,2224,1910,314,420,25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1345,8041,4319,3722,1749,113,1,3830,2328,1502,2509,1853,656,887,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,4354,2345,2009,907,195,0,1434,886,548,1509,1099,410,318,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,641,342,299,132,120,0,347,200,147,194,145,49,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,4178,2230,1948,647,100,0,2764,1579,1185,1370,1055,315,401,59
2674,13512,7208,6304,2569,738,12,7034,4100,2934,5264,3375,1889,1970,78
1279,6088,3243,2845,1326,621,0,3253,1889,1364,2091,1455,636,268,30
1728,9018,4843,4175,1691,620,10,4549,2718,1831,3337,2241,1096,883,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1624,855,769,286,10,0,871,526,345,610,402,208,285,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,27,15,12,0,27,0,0,0,0,22,10,12,0,0
1129,5605,3058,2547,1012,64,0,3075,1812,1263,2088,1355,733,368,32
1678,8350,4449,3901,1686,1045,0,3554,2271,1283,3277,2124,1153,1220,155
418,1840,964,876,381,43,0,883,585,298,800,461,339,439,2
709,3523,1834,1689,831,803,1,1556,978,578,1377,889,488,454,151
1186,5641,2965,2676,1139,258,0,2589,1536,1053,2236,1418,818,470,6
941,4553,2375,2178,1030,961,7,2126,1301,825,1265,1006,259,279,78
48843,244066,130138,113928,46141,16335,25,129138,75868,53270,80920,58458,22462,24507,2123
48843,244066,130138,113928,46141,16335,25,129138,75868,53270,80920,58458,22462,24507,2123
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290,6540,3497,3043,1075,515,1,3881,2228,1653,1699,1515,184,242,29
692,3700,2000,1700,618,124,0,2355,1364,991,1148,890,258,357,44
1316,6660,3580,3080,952,250,0,4546,2577,1969,2181,1750,431,686,26
129,604,328,276,96,233,0,264,170,94,180,151,29,133,1
110,524,287,237,111,112,0,314,186,128,207,120,87,0,0
670,3332,1761,1571,586,207,0,1738,1039,699,888,790,98,155,17
964,4888,2657,2231,895,0,0,2374,1460,914,1467,1149,318,383,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,7184,3848,3336,1523,209,0,2043,1222,821,2188,1590,598,536,7
4054,19771,10507,9264,3960,1462,0,9666,5701,3965,6923,4722,2201,2386,217
1338,6475,3463,3012,1233,363,0,2845,1636,1209,2390,1552,838,486,13
1813,9042,4797,4245,1805,481,0,4834,2830,2004,3136,2158,978,1002,54
1842,8773,4716,4057,1797,464,0,4245,2548,1697,3499,2128,1371,756,38
2745,14845,7890,6955,3269,564,0,6514,3926,2588,5028,3438,1590,1506,58
1773,9214,4853,4361,1737,615,0,4658,2720,1938,2772,2160,612,658,112
2932,14638,7809,6829,2875,1364,2,6721,4147,2574,5285,3607,1678,2993,33
486,2655,1398,1257,524,435,1,991,652,339,909,561,348,473,7
1199,5336,2823,2513,972,665,3,2688,1555,1133,2009,1303,706,779,110
1066,4864,2597,2267,821,77,0,3089,1690,1399,1687,1252,435,223,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,820,424,396,145,0,0,430,250,180,210,198,12,175,6
1216,5142,2720,2422,946,152,2,2936,1707,1229,1552,1132,420,491,31
666,3211,1685,1526,656,144,0,1643,1001,642,1031,744,287,501,1
562,2828,1508,1320,599,6,0,1115,642,473,1248,750,498,606,7
2410,13024,6980,6044,2489,950,5,7183,4206,2977,4224,2841,1383,1457,273
674,3020,1630,1390,575,1257,9,1711,1045,666,1237,776,461,407,259
1101,5305,2803,2502,1067,207,0,2750,1615,1135,1604,1244,360,334,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,1011,549,462,182,0,0,560,341,219,369,257,112,154,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240,5862,3162,2700,970,435,0,3579,2099,1480,1827,1463,364,425,42
75,338,181,157,71,0,0,106,65,41,85,77,8,71,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
681,3880,2097,1783,864,231,0,1805,1067,738,1091,867,224,623,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1734,8728,4588,4140,1384,509,0,5098,2790,2308,2634,2131,503,511,51
1179,6159,3206,2953,913,18,0,3891,2219,1672,1964,1514,450,200,33
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,504,279,225,111,0,0,124,72,52,131,114,17,11,1
35,164,82,82,27,0,0,100,53,47,54,41,13,29,6
688,3517,1878,1639,734,728,1,2046,1222,824,990,846,144,313,83
1076,5405,2825,2580,1015,1136,0,3102,1797,1305,1468,1240,228,419,13
144,742,388,354,126,86,0,452,258,194,331,188,143,3,0
2078,10789,5702,5087,2187,270,0,6166,3649,2517,3014,2333,681,1013,65
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,2300,1247,1053,391,0,0,1421,832,589,1277,750,527,76,17
228,1145,620,525,215,0,0,686,400,286,330,278,52,19,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,3834,2116,1718,830,614,0,2079,1260,819,1718,1089,629,654,19
414,2145,1142,1003,423,361,0,1079,702,377,886,527,359,74,287
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2160,11120,6039,5081,1756,450,0,7276,4261,3015,3424,2705,719,848,35
282,1843,1006,837,327,165,0,1006,593,413,509,485,24,347,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,5669,2992,2677,1105,375,1,3207,1842,1365,1868,1428,440,473,25
144,625,331,294,112,0,0,379,228,151,231,149,82,25,0
1195,5891,3147,2744,1072,101,0,3442,2001,1441,2017,1455,562,494,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
